v_cam;altitude;tma_num;V_S;V_E;V_T;maps;year;location;azimuth;photo_dist;fl_length;month;day
"32";;"2149";"126";"208";"83";N/A;"1968";peninsula;112;1.786;146.46;"12";"27"
"32";;"2137";"1";"145";"145";N/A;"1968";peninsula;115;1.468;211.4;"12";"23"
"32";;"2138";"146";"240";"95";N/A;"1968";peninsula;293;2.091;196.58;"12";"23"
"32";;"2139";"241";"348";"108";N/A;"1968";peninsula;115;1.768;189.19;"12";"23"
"32";;"2140";"349";"464";"116";N/A;"1968";peninsula;294;1.6;183.97;"12";"23"
"32";;"2141";"1";"121";"121";N/A;"1968";peninsula;116;1.836;220.37;"12";"23"
"32";;"2142";"122";"231";"110";N/A;"1968";peninsula;296;1.981;215.89;"12";"23"
"32";;"2166";"266";"332";"67";N/A;"1969";peninsula;111;2.131;140.65;"1";"12"
"32";;"2160";"1";"38";"38";N/A;"1969";peninsula;109;2.726;100.84;"1";"8"
"32";;"2165";"240";"365";"126";N/A;"1969";peninsula;288;0.676;84.476;"1";"12"
"32";;"2161";"39";"82";"44";N/A;"1969";peninsula;290;3.185;136.94;"1";"8"
"32";;"2164";"179";"239";"61";N/A;"1969";peninsula;112;1.939;116.35;"1";"12"
"32";;"2163";"139";"178";"40";N/A;"1969";peninsula;289;1.907;74.374;"1968";
"32";;"2167";"333";"369";"37";N/A;"1969";peninsula;110;2.001;72.042;"1";"12"
"32";;"2124";"54";"119";"66";N/A;"1968";peninsula;98.4;2.309;150.05;"11";"23"
"32";;"2123";"0";"53";"54";N/A;"1968";peninsula;285;2.173;115.14;"11";"18"
"32";;"2121";"1";"86";"86";N/A;"1968";peninsula;290;1.883;160.08;"11";"23"
"32";;"2134";"283";"295";"13";N/A;"1968";peninsula;90.8;3.752;45.026;"12";"20"
"32";;"2135";"296";"320";"25";N/A;"1968";peninsula;159;2.7;64.798;"12";"20"
"32";;"2132";"157";"204";"48";N/A;"1968";peninsula;290;2.258;106.12;"12";"20"
"32";;"2133";"205";"282";"78";N/A;"1968";peninsula;285;2.89;222.54;"12";"20"
"32";;"2136";"338";"478";"141";N/A;"1968";peninsula;104;1.686;235.97;"12";"20"
"32";;"2130";"321";"337";"17";N/A;"1968";peninsula;255;3.323;53.174;"12";"20"
"32";;"2125";"120";"155";"36";N/A;"1968";peninsula;290;1.941;67.935;"11";"23"
"32";;"2126";"156";"199";"44";N/A;"1968";peninsula;113;2.723;117.09;"11";"23"
"32";;"2128";"224";"255";"32";N/A;"1968";peninsula;118;1.384;42.911;"11";"23"
"32";;"2127";"200";"223";"24";N/A;"1968";peninsula;293;2.191;50.403;"11";"23"
"32";;"2172";"1";"46";"46";N/A;"1969";ronne_shelf;43;1.75;78.747;"2";"11"
"32";;"2173";"47";"85";"39";N/A;"1969";ronne_shelf;74.2;1.966;74.725;"2";"11"
"32";;"2176";"186";"372";"187";N/A;"1969";ronne_shelf;256;1.811;336.77;"2";"11"
"32";;"2176";"186";"372";"187";N/A;"1969";peninsula;256;1.811;336.77;"2";"11"
"32";;"2168";"1";"182";"182";N/A;"1969";ronne_shelf;1.09;1.613;291.98;"1";"15"
"32";;"2174";"86";"133";"48";N/A;"1969";ronne_shelf;97.7;1.24;58.285;"2";"11"
"32";;"2169";"187";"246";"60";N/A;"1969";ronne_shelf;55;1.929;113.8;"1";"15"
"32";;"2175";"134";"185";"52";N/A;"1969";ronne_shelf;6.19;1.996;101.77;"2";"11"
"32";;"2182";"334";"380";"47";N/A;"1969";ronne_shelf;105;4.238;194.94;"2";"7"
"32";;"2182";"334";"380";"47";N/A;"1969";central_antarctica_south_pole;105;4.238;194.94;"2";"7"
"32";;"2182";"334";"380";"47";N/A;"1969";queen_maud_land;105;4.238;194.94;"2";"7"
"32";;"2120";"211";"275";"65";N/A;"1968";queen_maud_land;199;2.1;134.37;"11";"27"
